Civilité,Prenom,Nom,Societe,Site,Departement,Service,fonction,Manager-Prenom,Manager-Nom,Nom de PC,Marque PC,Date de naissance,Telephone fixe,Telephone portable
M.,Erwan,Faure,BillU,Paris,Communication et Relations publiques,Communication interne,Chargé de communication,Gaelle,Colin,PA10218,,17/06/1993,0127364911,0707561174
M.,Loic,Blanc,BillU,Paris,Communication et Relations publiques,Communication interne,Chargé en droit de la communication,Gaelle,Colin,PA88356,DELL,03/11/1982,0160352162,0747070420
M.,Corentin,Arnaud,BillU,Paris,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,PA11094,DELL,01/01/1991,0148522008,0710630503
M.,Diego,Aubert,BillU,Paris,Communication et Relations publiques,Communication interne,Community manager,Gaelle,Colin,PA19149,DELL,14/05/1989,0198004015,0736672209
Mme,Gaelle,Colin,BillU,Paris,Communication et Relations publiques,Communication interne,Responsable communication,Noémie,Leloir,PA23669,DELL,23/06/1999,0146389837,0625101497
M.,Mathias,Muller,BillU,Paris,Communication et Relations publiques,Gestion des marques,Community manager,Gaelle,Colin,PA63498,DELL,08/12/2000,0112691924,0695993512
Mme,Laurence,Guerin,BillU,Paris,Communication et Relations publiques,Gestion des marques,Designer graphique,Gaelle,Colin,PA63117,DELL,20/07/1990,0114806301,0642681764
M.,Lukas,Rousseau,BillU,Paris,Communication et Relations publiques,Gestion des marques,photographe,Gaelle,Colin,PA74987,DELL,19/04/1993,0199526389,0742450021
M.,Gaetan,Roussel,BillU,Paris,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,PA74884,DELL,27/10/1994,0181708327,0622836246
Mme,Ines,Henry,BillU,Paris,Communication et Relations publiques,Gestion des marques,Webmaster,Gaelle,Colin,PA39469,DELL,05/01/2000,0138585445,0685150170
Mme,Régina,Illaconnesé,BillU,Paris,Communication et Relations publiques,Relation Médias,Chargée relation presse,Aurelien,Brunet,PA99009,DELL,16/11/1994,0155106945,0643567057
Mme,Sophia,Kusmérowic,BillU,Paris,Communication et Relations publiques,Relation Médias,Chargée relation presse,Aurelien,Brunet,PA76764,DELL,10/08/1988,0134259365,0732836175
M.,Felix,Jean,Studio Dlight,Nantes,Communication et Relations publiques,Relation Médias,Monteur,Aurelien,Brunet,-,-,-,-,0684213048
M.,Damien,Calouhouet,I-magyne,Paris,Communication et Relations publiques,Relation Médias,Monteur,Aurelien,Brunet,-,-,-,-,0612558490
M.,Alban,Dumas,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA78671,HP,02/12/1987,0197796902,0615034263
Mme,Elsa,Tashi,BillU,Paris,Communication et Relations publiques,Relation Médias,Rédacteur,Aurelien,Brunet,PA10326,DELL,08/12/1996,0199523757,0759440381
